name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,icao_code,iata_code
Adado Airport,6.095802,46.6375,1001,AF,SO,SO-GA,Adado,no,HCAD,AAD
Burton-Nibbs International Airport,17.621194,-61.798347,28,NA,AG,AG-10,Codrington,yes,TAPB,BBQ
Afutara Aerodrome,-9.191389,160.948611,23,OC,SB,SB-ML,Bila,no,AGAF,AFT
Ulawa Airport,-9.860543583,161.9795465,40,OC,SB,SB-MK,Arona,no,AGAR,RNA
Uru Harbour Airport,-8.87333,161.011002,,OC,SB,SB-ML,Atoifi,no,AGAT,ATD
Barakoma Airport,-7.912779808,156.70599365234375,,OC,SB,SB-WE,Barakoma,no,AGBA,VEV
Batuna Aerodrome,-8.562027778,158.1193056,24,OC,SB,SB-WE,Batuna Mission Station,no,AGBT,BPF
Geva Airport,-7.575829983,156.5970001220703,,OC,SB,SB-WE,Liangia,no,AGEV,GEF
Gwaunaru'u Airport,-8.70257,160.682007,5,OC,SB,SB-ML,Auki,yes,AGGA,AKS
Bellona/Anua Airport,-11.30222222,159.7983333,60,OC,SB,SB-RB,Anua,yes,AGGB,BNY
Choiseul Bay Airport,-6.711944,156.396111,,OC,SB,SB-CH,Choiseul Bay,yes,AGGC,CHY
Ballalae Airport,-6.990745,155.886656,5,OC,SB,SB-WE,Ballalae,yes,AGGE,BAS
Fera/Maringe Airport,-8.1075,159.576996,9,OC,SB,SB-IS,Fera Island,yes,AGGF,FRE
Honiara International Airport,-9.428,160.054993,28,OC,SB,SB-GU,Honiara,yes,AGGH,HIR
Babanakira Airport,-9.7475,159.839005,,OC,SB,SB-GU,Mbambanakira,no,AGGI,MBU
Avu Avu Airport,-9.868333,160.410556,25,OC,SB,SB-GU,Avu Avu,no,AGGJ,AVU
Ngorangora Airport,-10.44970036,161.897995,54,OC,SB,SB-MK,Kirakira,yes,AGGK,IRA
Santa Cruz/Graciosa Bay/Luova Airport,-10.7203,165.794998,18,OC,SB,SB-TE,Santa Cruz/Graciosa Bay/Luova,yes,AGGL,SCZ
Munda Airport,-8.32797,157.263,10,OC,SB,SB-WE,Munda,yes,AGGM,MUA
Nusatupe Airport,-8.097780228,156.8639984,13,OC,SB,SB-WE,Gizo,yes,AGGN,GZO
Mono Airport,-7.41694,155.565002,35,OC,SB,SB-WE,Stirling Island,yes,AGGO,MNY
Parasi Airport,-9.641670227,161.4250030517578,,OC,SB,SB-ML,Parasi,no,AGGP,PRS
Rennell/Tingoa Airport,-11.55,160.062778,550,OC,SB,SB-RB,Rennell Island,yes,AGGR,RNL
Sege Airport,-8.57889,157.876007,,OC,SB,SB-WE,Sege,no,AGGS,EGM
Santa Ana Airport,-10.847994,162.454108,3,OC,SB,SB-MK,Santa Ana Island,yes,AGGT,NNB
Marau Airport,-9.86167,160.824997,3,OC,SB,SB-GU,Marau,yes,AGGU,RUS
Suavanao Airport,-7.58556,158.731003,20,OC,SB,SB-IS,Suavanao,yes,AGGV,VAO
Yandina Airport,-9.092816,159.21841,60,OC,SB,SB-CE,Yandina,yes,AGGY,XYA
Kaghau Airport,-7.3305,157.585,30,OC,SB,SB-CH,Kagau Island,yes,AGKG,KGE
Kukudu Airport,-8.0262,156.94783,32,OC,SB,SB-WE,Kolombangara Island,no,AGKU,KUE
Kwailabesi Airport,-8.360508,160.775127,52,OC,SB,SB-ML,Kwailabesi,no,AGKW,KWS
Lomlom Airport,-10.296828,166.327322,55,OC,SB,SB-TE,Lomlom,no,AGLM,LLM
Nana Airport,-10.6758,162.2049,60,OC,SB,SB-MK,Star Harbor,no,AGNA,NAZ
Manaoba Airport,-8.325008,160.80051,14,OC,SB,SB-ML,Manaoba,yes,AGOB,MHM
Gatokae Aerodrome,-8.738358,158.202836,70,OC,SB,SB-WE,Gatokae,yes,AGOK,GTA
Ringi Cove Airport,-8.126390457,157.14300537109375,,OC,SB,SB-WE,Ringi Cove,no,AGRC,RIN
Ramata Airport,-8.168060303,157.64300537109375,,OC,SB,SB-WE,Ramata,yes,AGRM,RBV
(Duplicate)Vlora International Airport,40.605556,19.426111,8,EU,AL,AL-12,Vlorë,no,LAVL,VLO
Syunik Airport,39.202272,46.455204,2308,AS,AM,AM-SU,Kapan,no,UDCK,YUK
Ambatomainty Airport,-17.686667,45.623889,1025,AF,MG,MG-M,,no,FMMB,AMY
Nauru International Airport,-0.547893,166.919525,22,OC,NR,NR-14,Yaren,yes,ANYN,INU
Lady Elliot Island Airstrip,-24.1129,152.7156,20,OC,AU,AU-QLD,Lady Elliot Island,no,YLTT,LYT
Alxa Left Banner Bayanhot Airport,38.748317,105.58416,4560,AS,CN,CN-15,Bayanhot,yes,ZBAL,AXF
Ama Airport,-4.101111111,141.67,145,OC,PG,PG-ESW,,no,AYAA,AMF
Mount Aue Airport,-6.229978,144.664181,4250,OC,PG,PG-JWK,Aue,no,AYAE,UAE
Afore Airstrip,-9.13867,148.390701,2500,OC,PG,PG-NPP,Afore,no,AYAF,AFR
Agaun Airport,-9.927715,149.389951,3200,OC,PG,PG-MBA,Agaun,no,AYAG,AUP
Aitape Airport,-3.143611,142.346806,10,OC,PG,PG-SAN,Aitape,no,AYAI,ATP
