name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,icao_code,iata_code
Hartsfield-Jackson Atlanta International Airport,33.6407,-84.4277,1026,NA,US,US-GA,Atlanta,yes,KATL,ATL
Los Angeles International Airport,33.9416,-118.4085,125,NA,US,US-CA,Los Angeles,yes,KLAX,LAX
Chicago O'Hare International Airport,41.9742,-87.9073,672,NA,US,US-IL,Chicago,yes,KORD,ORD
Dallas/Fort Worth International Airport,32.8998,-97.0403,607,NA,US,US-TX,Dallas,yes,KDFW,DFW
Denver International Airport,39.8561,-104.6737,5431,NA,US,US-CO,Denver,yes,KDEN,DEN
John F. Kennedy International Airport,40.6413,-73.7781,13,NA,US,US-NY,New York,yes,KJFK,JFK
San Francisco International Airport,37.6213,-122.379,13,NA,US,US-CA,San Francisco,yes,KSFO,SFO
Seattle-Tacoma International Airport,47.4502,-122.3088,433,NA,US,US-WA,Seattle,yes,KSEA,SEA
Harry Reid International Airport,36.084,-115.1537,2181,NA,US,US-NV,Las Vegas,yes,KLAS,LAS
Orlando International Airport,28.4294,-81.3089,96,NA,US,US-FL,Orlando,yes,KMCO,MCO
Miami International Airport,25.7959,-80.287,8,NA,US,US-FL,Miami,yes,KMIA,MIA
Phoenix Sky Harbor International Airport,33.4342,-112.008,1135,NA,US,US-AZ,Phoenix,yes,KPHX,PHX
Newark Liberty International Airport,40.6895,-74.1745,18,NA,US,US-NJ,Newark,yes,KEWR,EWR
George Bush Intercontinental Airport,29.9804,-95.3397,97,NA,US,US-TX,Houston,yes,KIAH,IAH
Logan International Airport,42.3656,-71.0096,20,NA,US,US-MA,Boston,yes,KBOS,BOS
Philadelphia International Airport,39.8719,-75.2411,36,NA,US,US-PA,Philadelphia,yes,KPHL,PHL
Minneapolis-St. Paul International Airport,44.8819,-93.2217,841,NA,US,US-MN,Minneapolis,yes,KMSP,MSP
Detroit Metropolitan Airport,42.2124,-83.3533,645,NA,US,US-MI,Detroit,yes,KDTW,DTW
Fort Lauderdale-Hollywood International Airport,26.0726,-80.1527,9,NA,US,US-FL,Fort Lauderdale,yes,KFLL,FLL
LaGuardia Airport,40.7769,-73.874,21,NA,US,US-NY,New York,yes,KLGA,LGA
Salt Lake City International Airport,40.7899,-111.9791,4227,NA,US,US-UT,Salt Lake City,yes,KSLC,SLC
Baltimore/Washington International Airport,39.1754,-76.6683,146,NA,US,US-MD,Baltimore,yes,KBWI,BWI
Washington Dulles International Airport,38.9445,-77.4558,313,NA,US,US-VA,Washington D.C.,yes,KIAD,IAD
San Diego International Airport,32.7336,-117.1897,17,NA,US,US-CA,San Diego,yes,KSAN,SAN
Ronald Reagan Washington National Airport,38.8512,-77.0402,15,NA,US,US-VA,Washington D.C.,yes,KDCA,DCA
Tampa International Airport,27.9755,-82.5332,26,NA,US,US-FL,Tampa,yes,KTPA,TPA
Nashville International Airport,36.1245,-86.6782,599,NA,US,US-TN,Nashville,yes,KBNA,BNA
Austin-Bergstrom International Airport,30.1945,-97.6699,542,NA,US,US-TX,Austin,yes,KAUS,AUS
Daniel K. Inouye International Airport,21.3245,-157.9251,13,NA,US,US-HI,Honolulu,yes,PHNL,HNL
Kansas City International Airport,39.2976,-94.7139,1026,NA,US,US-MO,Kansas City,yes,KMCI,MCI
Portland International Airport,45.5898,-122.5951,31,NA,US,US-OR,Portland,yes,KPDX,PDX
Louis Armstrong New Orleans International Airport,29.9934,-90.258,4,NA,US,US-LA,New Orleans,yes,KMSY,MSY
Cleveland-Hopkins International Airport,41.4107,-81.8498,791,NA,US,US-OH,Cleveland,yes,KCLE,CLE
Pittsburgh International Airport,40.4915,-80.2329,1204,NA,US,US-PA,Pittsburgh,yes,KPIT,PIT
San Jose International Airport,37.3626,-121.9291,62,NA,US,US-CA,San Jose,yes,KSJC,SJC
Sacramento International Airport,38.6954,-121.5908,27,NA,US,US-CA,Sacramento,yes,KSMF,SMF
Raleigh-Durham International Airport,35.8776,-78.7875,435,NA,US,US-NC,Raleigh,yes,KRDU,RDU
Indianapolis International Airport,39.7173,-86.2947,797,NA,US,US-IN,Indianapolis,yes,KIND,IND
San Antonio International Airport,29.5337,-98.4698,809,NA,US,US-TX,San Antonio,yes,KSAT,SAT
Oakland International Airport,37.7213,-122.2207,9,NA,US,US-CA,Oakland,yes,KOAK,OAK
Southwest Florida International Airport,26.5362,-81.7551,30,NA,US,US-FL,Fort Myers,yes,KRSW,RSW
John Wayne Airport-Orange County Airport,33.6757,-117.8676,56,NA,US,US-CA,Santa Ana,yes,KSNA,SNA
St. Louis Lambert International Airport,38.7477,-90.3597,618,NA,US,US-MO,St. Louis,yes,KSTL,STL
Charlotte Douglas International Airport,35.214,-80.9431,748,NA,US,US-NC,Charlotte,yes,KCLT,CLT
Birmingham-Shuttlesworth International Airport,33.5629,-86.7535,650,NA,US,US-AL,Birmingham,yes,KBHM,BHM
Buffalo Niagara International Airport,42.9405,-78.7322,728,NA,US,US-NY,Buffalo,yes,KBUF,BUF
Eppley Airfield,41.3025,-95.8941,984,NA,US,US-NE,Omaha,yes,KOMA,OMA
Albuquerque International Sunport,35.0402,-106.6092,5355,NA,US,US-NM,Albuquerque,yes,KABQ,ABQ
Palm Beach International Airport,26.6832,-80.0956,19,NA,US,US-FL,West Palm Beach,yes,KPBI,PBI
Ontario International Airport,34.056,-117.6012,944,NA,US,US-CA,Ontario,yes,KONT,ONT
William P. Hobby Airport,29.6454,-95.2789,46,NA,US,US-TX,Houston,yes,KHOU,HOU
Bradley International Airport,41.9389,-72.6832,173,NA,US,US-CT,Windsor Locks,yes,KBDL,BDL
Milwaukee Mitchell International Airport,42.9472,-87.8966,723,NA,US,US-WI,Milwaukee,yes,KMKE,MKE
Ted Stevens Anchorage International Airport,61.1742,-149.996,151,NA,US,US-AK,Anchorage,yes,PANC,ANC
Memphis International Airport,35.0424,-89.9767,341,NA,US,US-TN,Memphis,yes,KMEM,MEM
Jacksonville International Airport,30.4941,-81.6879,30,NA,US,US-FL,Jacksonville,yes,KJAX,JAX
Long Beach Airport,33.8177,-118.1516,60,NA,US,US-CA,Long Beach,yes,KLGB,LGB
