source_code,destination_code,price,duration_minutes,flight_number
ATL,ORD,150.0,120,FL001
ORD,ATL,150.0,120,FL002
JFK,LAX,350.0,360,FL003
LAX,JFK,350.0,330,FL004
DFW,DEN,110.0,120,FL005
DEN,DFW,110.0,120,FL006
SFO,SEA,90.0,110,FL007
SEA,SFO,90.0,110,FL008
LAS,PHX,70.0,75,FL009
PHX,LAS,70.0,75,FL010
MIA,JFK,180.0,180,FL011
JFK,MIA,180.0,180,FL012
EWR,BOS,115.0,75,FL013
BOS,EWR,115.0,75,FL14
IAH,ATL,140.0,150,FL15
MSP,DTW,95.0,100,FL16
LHR,CDG,120.0,75,FL17
CDG,LHR,120.0,75,FL18
FRA,AMS,130.0,70,FL19
MAD,BCN,80.0,85,FL20
IST,DXB,290.0,290,FL21
DXB,SIN,460.0,440,FL22
SIN,HND,560.0,400,FL23
HND,ICN,190.0,130,FL24
HKG,BKK,220.0,160,FL25
BKK,CGK,200.0,210,FL26
CGK,KUL,90.0,120,FL27
KUL,SIN,75.0,60,FL28
SYD,MEL,100.0,90,FL29
YYZ,YVR,300.0,300,FL30
MEX,GRU,590.0,550,FL31
BOG,LIM,230.0,190,FL32
JNB,CAI,660.0,570,FL33
PEK,PVG,150.0,140,FL34
PVG,CAN,130.0,130,FL35
DEL,BOM,90.0,130,FL36
JFK,LHR,670.0,420,FL37
LHR,JFK,690.0,450,FL38
LAX,HND,900.0,660,FL39
SFO,HKG,960.0,840,FL40
ORD,CDG,730.0,480,FL41
MIA,MEX,190.0,200,FL42
ATL,DFW,145.0,150,FL43
PHL,BOS,120.0,85,FL44
DEN,SLC,100.0,90,FL45
SEA,YVR,125.0,60,FL46
FLL,ATL,90.0,115,FL47
DXB,LHR,530.0,470,FL48
SIN,SYD,710.0,480,FL49
SLC,SFO,140.0,125,FL50
BNA,DCA,110.0,100,FL51
AUS,PHX,135.0,150,FL52
SAN,SFO,85.0,90,FL53
DCA,BOS,115.0,85,FL54
PDX,SEA,75.0,50,FL55
