source_code,destination_code,price,duration_minutes
ABQ,PHX,188,84
ABQ,DFW,290,85
ABQ,LAS,155,115
ALB,DFW,130,83
ALB,DEN,84,138
ALB,MIA,141,100
ANC,DFW,250,215
ANC,LAS,232,104
ATL,FLL,438,326
ATL,MCO,185,416
ATL,DFW,190,334
ATL,MIA,161,370
ATL,DCA,162,318
ATL,ORD,250,318
ATL,IAH,393,389
ATL,DTW,386,322
ATL,DEN,214,312
ATL,LAS,398,312
ATL,JFK,181,284
ATL,LAX,105,327
ATL,CLT,375,269
ATL,PHX,371,114
ATL,JAX,255,114
ATL,SFO,241,91
ATL,STL,112,135
ATL,RIC,241,87
ATL,PIT,240,106
ATL,LEX,184,132
ATL,OMA,73,135
ATL,DAY,181,121
ATL,EYW,213,121
ATL,PDX,103,121
ATL,GEG,124,269
ATL,PWM,145,155
AUS,DEN,256,155
AUS,DFW,214,69
AVL,DFW,187,331
AVL,MCO,157,94
BDL,JFK,210,140
BDL,IAH,178,151
BHM,DFW,215,161
BHM,IAH,204,285
BNA,DEN,122,175
BNA,SFO,149,279
BOI,SEA,94,170
BOI,SFO,246,136
BOS,LAX,290,110
BOS,DEN,80,133
BOS,LAS,154,136
BUF,ATL,151,250
BWI,ORD,286,143
CHA,IAH,161,95
CHA,DEN,82,308
CHS,JFK,132,107
CLE,SEA,125,222
CLT,LGA,124,105
CLT,MCO,251,135
CLT,TPA,243,180
CLT,JFK,274,180
CLT,PHX,266,199
CLT,IAH,176,199
CLT,TYS,370,85
CLT,DEN,186,85
CLT,ORF,149,99
CLT,RIC,112,99
CLT,SAN,297,217
CLT,PVD,287,217
CLT,STL,139,205
CLT,SFO,131,285
CLT,BUF,247,285
CLT,MCI,157,102
CLT,SEA,134,272
CLT,SNA,199,201
DCA,LAX,452,332
DCA,DEN,235,332
DCA,PHX,387,229
DEN,PHX,249,150
DEN,LAS,260,173
DEN,MSP,239,139
DEN,AUS,136,162
DEN,ATL,204,240
DEN,SEA,380,119
DEN,LGA,230,164
DEN,MCO,243,164
DEN,IAH,301,164
DEN,MCI,90,86
DEN,EWR,160,86
DEN,BNA,153,93
DEN,BOS,231,93
DEN,STL,230,75
DEN,SAT,132,165
DEN,MIA,214,185
DEN,CLT,161,215
DEN,DSM,95,280
DEN,GEG,282,178
DEN,ELP,186,130
DEN,DCA,220,130
DEN,MKE,244,121
DEN,RDU,95,121
DEN,CLE,103,146
DEN,LIT,115,160
DEN,FAT,266,155
DEN,FAR,110,95
DEN,KOA,154,80
DEN,ALB,165,203
DEN,CHA,137,203
DFW,ATL,173,125
DFW,ORD,163,60
DFW,IAH,294,303
DFW,DEN,431,219
DFW,LAX,185,219
DFW,PHX,260,210
DFW,MCO,323,110
DFW,LAS,348,105
DFW,AUS,190,240
DFW,SEA,203,240
DFW,MIA,378,90
DFW,CLT,238,328
DFW,SFO,316,290
DFW,ABQ,217,337
DFW,IAD,255,190
DFW,RSW,294,59
DFW,BHM,164,150
DFW,SMF,104,143
DFW,JFK,142,78
DFW,TLH,205,97
DFW,MOB,176,113
DFW,GRR,156,144
DFW,AVL,277,106
DFW,KOA,169,243
DFW,ANC,199,184
DFW,BUF,140,184
DFW,OGG,203,363
DFW,PWM,168,160
DFW,ALB,128,128
DSM,ORD,85,126
DSM,DEN,145,88
DSM,PHX,241,180
DTW,ATL,180,170
DTW,IAH,124,176
DTW,MIA,227,191
ELP,DEN,152,91
ELP,LAS,167,106
ELP,MCO,362,121
EWR,IAH,401,90
EWR,DEN,325,227
EWR,PHX,318,170
EYW,ATL,196,273
EYW,CLT,371,273
EYW,MIA,323,164
FAI,SEA,246,168
FAR,ORD,106,99
FAR,DEN,123,139
FAT,DEN,136,148
FLL,ATL,290,217
FLL,LAX,257,160
GEG,PHX,142,223
GRR,DFW,175,146
GSO,ORD,156,126
GSP,IAH,158,239
HNL,LAX,229,166
HNL,SEA,266,155
HNL,JFK,172,170
HOU,SEA,153,111
HSV,ORD,299,202
HSV,IAH,199,224
IAD,DFW,278,91
IAH,ORD,210,228
IAH,DFW,113,184
IAH,LAX,214,130
IAH,DEN,260,130
IAH,EWR,217,152
IAH,SFO,229,152
IAH,DTW,97,152
IAH,LAS,232,207
IAH,CLT,131,131
IAH,BOS,83,162
IAH,SEA,131,157
IAH,JAX,289,159
IAH,SAV,253,169
IAH,GSP,215,234
IAH,RIC,132,234
IAH,SJU,186,234
IAH,JFK,292,193
IAH,BDL,96,149
IAH,RNO,201,227
ICT,ORD,173,91
IND,LAS,234,157
IND,JFK,216,161
JAX,IAH,226,125
JAX,PHX,189,131
JFK,LAX,147,129
JFK,SFO,288,224
JFK,ATL,100,95
JFK,CLT,145,90
JFK,ORD,169,163
JFK,CHS,242,158
JFK,DEN,145,174
JFK,DFW,136,174
JFK,BDL,115,183
JFK,IAH,191,191
JFK,MKE,85,191
LAS,LAX,355,92
LAS,ATL,236,100
LAS,ABQ,271,109
LAS,IND,253,97
LAX,SFO,182,223
LAX,PHX,351,175
LAX,DEN,213,175
LAX,ORD,405,175
LAX,MCO,188,163
LAX,FLL,251,183
LAX,MIA,214,388
LAX,MSP,167,194
LAX,IAD,292,369
LAX,TPA,94,121
LAX,MEM,257,190
LIH,LAS,142,104
MCO,SFO,85,184
MCO,AVL,136,125
MIA,JFK,164,229
MIA,DTW,187,260
MIA,SFO,139,98
MIA,IAD,128,172
MIA,ALB,130,66
ORD,PHX,247,158
ORD,DSM,190,156
ORD,FAR,156,158
ORD,ICT,178,172
ORD,OKC,89,293
ORD,SYR,233,95
ORD,GSO,246,187
ORD,IAD,278,114
ORD,SNA,206,94
ORD,ORF,81,123
ORD,PWM,252,170
ORD,PVD,170,146
ORD,HSV,155,134
ORD,PNS,192,166
ORD,BIL,261,144
ORF,CLT,394,167
ORF,ORD,157,216
ORF,PHX,192,180
ORF,LAS,309,127
PBI,MCO,338,106
PDX,ATL,370,290
PDX,MCO,194,97
PHL,MCO,423,170
PHX,DEN,104,238
PHX,SEA,250,238
PHX,LAX,198,159
PHX,SLC,170,159
PHX,ORD,86,159
PHX,LAS,126,197
PHX,DFW,129,197
PHX,SFO,156,354
PHX,ATL,112,131
PHX,JFK,175,343
PHX,ABQ,197,343
PHX,SJC,150,343
PHX,CLT,185,185
PHX,IAH,192,159
PHX,SAT,188,159
PHX,EWR,116,175
PHX,MCO,285,195
PHX,GEG,337,385
PHX,PSP,334,385
PHX,LGB,83,385
PHX,DSM,253,97
PHX,DCA,249,152
PHX,MEM,176,124
PHX,JAX,113,84
PHX,ORF,386,148
PHX,RIC,161,195
PIT,ATL,175,90
PIT,IAH,444,181
,,,78
,,,78
,,,119
,,,119
