source_code,destination_code,price,duration_minutes,flight_number
ATL,LAX,250,282,NK6725
LAX,ATL,237,288,DL6548
ATL,ORD,190,135,F9139
ORD,ATL,178,136,B62771
ATL,DFW,214,341,DL8749
DFW,ATL,227,342,NK5764
ATL,DEN,181,101,AS3715
DEN,ATL,185,92,UA7517
ATL,JFK,241,335,AA8345
JFK,ATL,233,328,F95735
ATL,SFO,398,325,AS5026
SFO,ATL,409,331,AA8354
ATL,SEA,185,111,NK7700
SEA,ATL,197,114,AS6796
ATL,LAS,161,100,WN3820
LAS,ATL,161,104,WN7218
ATL,MCO,371,266,UA6195
MCO,ATL,355,270,NK8855
ATL,MIA,375,205,UA5673
MIA,ATL,360,209,NK9290
ATL,PHX,393,253,NK112
PHX,ATL,385,251,F98021
ATL,CLT,386,213,B61385
CLT,ATL,370,215,AS6012
ATL,IAH,438,261,DL9830
IAH,ATL,449,255,AS7099
LAX,ORD,260,344,B68324
ORD,LAX,247,350,WN1593
LAX,DFW,213,110,NK512
DFW,LAX,205,116,WN5446
LAX,DEN,166,202,AA8607
DEN,LAX,163,208,B68785
LAX,JFK,192,221,UA3325
JFK,LAX,178,218,B61320
LAX,SFO,252,294,AS1641
SFO,LAX,259,292,DL3600
LAX,SEA,421,193,AA4043
SEA,LAX,429,190,AS6142
LAX,LAS,350,137,F98884
LAS,LAX,334,145,DL5808
LAX,MCO,318,199,WN7882
MCO,LAX,314,197,UA8111
LAX,MIA,374,117,AS1237
MIA,LAX,384,110,F9753
LAX,PHX,283,177,DL2338
PHX,LAX,265,174,AS3581
LAX,CLT,313,288,DL6122
CLT,LAX,322,289,AS1662
LAX,IAH,242,191,B63405
IAH,LAX,236,183,DL8545
ORD,DFW,357,121,NK6790
DFW,ORD,362,117,WN5150
ORD,DEN,436,264,NK8867
DEN,ORD,431,263,F95103
ORD,JFK,178,152,AS9444
JFK,ORD,192,142,AS4565
ORD,SFO,300,201,B67833
SFO,ORD,311,191,UA7901
ORD,SEA,157,83,B62845
SEA,ORD,166,73,DL5979
ORD,LAS,265,225,B67559
LAS,ORD,253,228,UA7349
ORD,MCO,384,160,DL6766
MCO,ORD,396,151,DL7549
ORD,MIA,298,296,DL1512
MIA,ORD,304,297,UA6037
ORD,PHX,441,124,DL765
PHX,ORD,446,132,UA7539
ORD,CLT,447,60,WN862
CLT,ORD,444,68,F99538
ORD,IAH,368,204,AS4764
IAH,ORD,355,209,NK4174
DFW,DEN,152,215,F9249
DEN,DFW,142,212,WN9749
DFW,JFK,167,62,UA9311
JFK,DFW,157,65,F99147
DFW,SFO,318,147,F99714
SFO,DFW,313,137,F96810
DFW,SEA,325,70,UA3229
SEA,DFW,327,78,UA6213
DFW,LAS,401,82,NK6876
LAS,DFW,386,73,AS9874
DFW,MCO,371,85,UA3058
MCO,DFW,359,76,NK9617
DFW,MIA,323,306,DL351
MIA,DFW,340,312,F96121
DFW,PHX,196,327,B61149
PHX,DFW,188,330,B64534
DFW,CLT,255,258,DL5882
CLT,DFW,273,261,NK4727
DFW,IAH,246,319,NK3658
IAH,DFW,253,315,UA2912
DEN,JFK,316,218,B62121
JFK,DEN,309,216,B65254
DEN,SFO,203,214,AA3238
SFO,DEN,201,222,WN497
DEN,SEA,348,133,NK5068
SEA,DEN,333,124,B67654
DEN,LAS,323,173,B67664
LAS,DEN,337,179,B69890
DEN,MCO,378,269,DL7172
MCO,DEN,358,265,AA4243
DEN,MIA,260,296,B62766
MIA,DEN,270,298,B64410
DEN,PHX,238,97,NK6494
PHX,DEN,246,102,AA8470
DEN,CLT,294,63,F96356
CLT,DEN,287,69,B64518
DEN,IAH,255,88,F93889
IAH,DEN,271,94,UA7057
JFK,SFO,192,125,DL299
SFO,JFK,186,118,AA8256
JFK,SEA,394,100,NK5571
SEA,JFK,386,105,UA1365
JFK,LAS,338,344,AS1398
LAS,JFK,337,352,AA7653
JFK,MCO,332,355,F98919
MCO,JFK,339,353,UA3680
JFK,MIA,158,159,AS8690
MIA,JFK,147,164,WN1092
JFK,PHX,194,248,NK9598
